replicate,scenario,geometry,habitat_patches,graph_nodes,graph_edges,total_corridor_length,failed_edges,final_persistent_species,long_run_persistent_species,recent_persistent_species,persistent_species_per_length,final_mean_occupancy,recent_evenness,recent_regional_total,recent_regional_total_cv,recent_relative_trend_per_1000_steps,quasi_stationary_flag,species_extinctions,mean_extinction_step
3.000000,edge_disturbance,dendritic_tree,50.000000,85.000000,84.000000,6.722009,0.000000,11.000000,11.000000,11.000000,1.636415,0.466667,0.917833,9699.411758,0.000000,-0.000000,1.000000,1.000000,321.000000
3.000000,edge_disturbance,hybrid_dendritic,50.000000,85.000000,90.000000,7.133292,0.000000,11.000000,11.000000,11.000000,1.542065,0.473333,0.917433,9714.070722,0.000000,0.000000,1.000000,1.000000,473.000000
4.000000,benign_long_run,nearest_web,50.000000,50.000000,102.000000,9.716673,0.000000,12.000000,12.000000,12.000000,1.234991,0.513333,0.899666,9826.286952,0.000000,0.000000,1.000000,0.000000,
4.000000,benign_long_run,minimum_spanning_tree,50.000000,50.000000,49.000000,3.643174,0.000000,12.000000,12.000000,12.000000,3.293831,0.506667,0.900699,9838.091009,0.000000,0.000000,1.000000,0.000000,
4.000000,benign_long_run,dendritic_tree,50.000000,85.000000,84.000000,7.436768,0.000000,12.000000,12.000000,12.000000,1.613604,0.496667,0.899391,9779.543649,0.000000,0.000000,1.000000,0.000000,
4.000000,benign_long_run,hybrid_dendritic,50.000000,85.000000,90.000000,8.172243,0.000000,12.000000,12.000000,12.000000,1.468385,0.505000,0.899706,9794.838717,0.000000,0.000000,1.000000,0.000000,
4.000000,costly_movement,nearest_web,50.000000,50.000000,102.000000,9.716673,0.000000,12.000000,12.000000,12.000000,1.234991,0.508333,0.900077,9742.627197,0.000000,0.000000,1.000000,0.000000,
4.000000,costly_movement,minimum_spanning_tree,50.000000,50.000000,49.000000,3.643174,0.000000,12.000000,12.000000,12.000000,3.293831,0.503333,0.900568,9751.678528,0.000000,0.000000,1.000000,0.000000,
4.000000,costly_movement,dendritic_tree,50.000000,85.000000,84.000000,7.436768,0.000000,12.000000,12.000000,12.000000,1.613604,0.498333,0.899059,9660.931901,0.000000,0.000000,1.000000,0.000000,
4.000000,costly_movement,hybrid_dendritic,50.000000,85.000000,90.000000,8.172243,0.000000,12.000000,12.000000,12.000000,1.468385,0.500000,0.899457,9680.416957,0.000000,0.000000,1.000000,0.000000,
4.000000,edge_disturbance,nearest_web,50.000000,50.000000,102.000000,9.716673,0.000000,12.000000,12.000000,12.000000,1.234991,0.508333,0.900256,9783.733746,0.000000,0.000000,1.000000,0.000000,
4.000000,edge_disturbance,minimum_spanning_tree,50.000000,50.000000,49.000000,3.643174,0.000000,12.000000,12.000000,12.000000,3.293831,0.503333,0.900624,9789.470487,0.000000,0.000000,1.000000,0.000000,
4.000000,edge_disturbance,dendritic_tree,50.000000,85.000000,84.000000,7.436768,0.000000,12.000000,12.000000,12.000000,1.613604,0.496667,0.899217,9711.763650,0.000000,0.000000,1.000000,0.000000,
4.000000,edge_disturbance,hybrid_dendritic,50.000000,85.000000,90.000000,8.172243,0.000000,12.000000,12.000000,12.000000,1.468385,0.501667,0.899650,9729.971530,0.000000,0.000000,1.000000,0.000000,
5.000000,benign_long_run,nearest_web,50.000000,50.000000,97.000000,9.307495,0.000000,11.000000,11.000000,11.000000,1.181843,0.500000,0.870001,9798.975514,0.000000,-0.000000,1.000000,1.000000,2505.000000
5.000000,benign_long_run,minimum_spanning_tree,50.000000,50.000000,49.000000,3.684370,0.000000,11.000000,11.000000,11.000000,2.985585,0.500000,0.870272,9804.214513,0.000000,-0.000000,1.000000,1.000000,1490.000000
5.000000,benign_long_run,dendritic_tree,50.000000,85.000000,84.000000,7.100896,0.000000,11.000000,11.000000,11.000000,1.549100,0.491667,0.870801,9789.498292,0.000000,-0.000000,1.000000,1.000000,975.000000
5.000000,benign_long_run,hybrid_dendritic,50.000000,85.000000,90.000000,7.458025,0.000000,11.000000,11.000000,11.000000,1.474921,0.498333,0.870531,9804.340935,0.000000,0.000000,1.000000,1.000000,1102.000000
5.000000,costly_movement,nearest_web,50.000000,50.000000,97.000000,9.307495,0.000000,11.000000,11.000000,11.000000,1.181843,0.498333,0.870533,9712.995214,0.000000,-0.000000,1.000000,1.000000,2709.000000
5.000000,costly_movement,minimum_spanning_tree,50.000000,50.000000,49.000000,3.684370,0.000000,11.000000,11.000000,11.000000,2.985585,0.496667,0.870551,9718.132643,0.000000,-0.000000,1.000000,1.000000,1604.000000
